seed,day,day_label,slot,lambda,pc,p1,p2,p3,p4,edge_avg_wait,edge_E_avg_wait,edge_C_avg_wait,cloud_avg_wait,coord_avg_wait,edge_L,span_seconds,replication
435406078,2,giorno2,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37106996391861674,0.5621283083412423,0.15837220706040134,0.8077127927170143,0.6304040285066532,0.8304040174560446,14399.0,55
435406078,2,giorno2,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5115332692435165,0.6996836303911346,0.3031452716895326,0.8021610843890723,0.6531828256311737,1.8418608151398954,14399.0,55
435406078,2,giorno2,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4292142171258605,0.6213558751522649,0.21607146695740467,0.8171040459497078,0.622187932893809,1.21896360725938,14399.0,55
435406078,2,giorno2,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3696281137706197,0.5566024716860165,0.16196752654065513,0.8132232307135534,0.6311185927126729,0.8756174012581317,14399.0,55
2010370540,1,giorno1,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3345609969329896,0.5225427629409655,0.12582676277761226,0.8119008580454256,0.6439688146798067,0.5334527348138418,14399.0,56
2010370540,1,giorno1,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4536975258629538,0.6427366851556231,0.24361461883696375,0.8048360236084949,0.6481646236015095,1.4187224668036222,14399.0,56
2010370540,1,giorno1,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3679523360078146,0.5569859691254148,0.1588634139181197,0.8090767967486169,0.6376882442733154,0.81164678771305,14399.0,56
2010370540,1,giorno1,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5063816261744448,0.6935468008496991,0.2983898169378851,0.804117974688219,0.6570521715375861,1.8222915982694081,14399.0,56
2010370540,1,giorno1,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.41867692722287114,0.6115922310067832,0.20509851593938397,0.7948864651851215,0.6413810747925709,1.1892122818590323,14399.0,56
2010370540,1,giorno1,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37774886878969127,0.5653064123858194,0.16943337766820837,0.7870311932930263,0.6158606806918274,0.9030661372558888,14399.0,56
2010370540,2,giorno2,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3384763591654565,0.5280608636850443,0.1279153435571261,0.8014144028794316,0.609622501773914,0.5318209007402798,14399.0,56
2010370540,2,giorno2,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4366513502821668,0.6236982622317756,0.2286806657943996,0.7935614652796662,0.6565514669862361,1.3614157732875614,14399.0,56
2010370540,2,giorno2,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37167514354163456,0.5633501014262065,0.15842961977140893,0.7987741433395277,0.6210024403347858,0.8242210576031622,14399.0,56
2010370540,2,giorno2,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5067391592659403,0.6915627326847887,0.3007550917981268,0.8033788365286372,0.666080748280447,1.8400484021265149,14399.0,56
2010370540,2,giorno2,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.41326357847293665,0.6015070042060249,0.20392560707539567,0.8028626095051676,0.639466255381686,1.1570748778482145,14399.0,56
2010370540,2,giorno2,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37506685166095516,0.5647517593376357,0.16471593003284585,0.8065693058856666,0.6259260587524272,0.8808692077657143,14399.0,56
1419260160,1,giorno1,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.33483605953086687,0.5229473334552418,0.12549179800733498,0.7967349804424851,0.5800753032914049,0.5262639671673761,14399.0,57
1419260160,1,giorno1,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.44826214321159213,0.6356922640944622,0.24035323941073214,0.805977348434918,0.6643852225162084,1.4117191060640368,14399.0,57
1419260160,1,giorno1,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.36670066048344263,0.554969035171469,0.15748163205548318,0.803544853509319,0.6399832319778794,0.8098025975451426,14399.0,57
1419260160,1,giorno1,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5052891684999818,0.6957225508257684,0.29400598055290783,0.7996839084748907,0.6563926012681578,1.8221501544802805,14399.0,57
1419260160,1,giorno1,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4070934913197543,0.5937634294380585,0.1994427730284477,0.7970525572017143,0.6232546670769257,1.1525221316514886,14399.0,57
1419260160,1,giorno1,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37926709412144133,0.5672492184540686,0.1702191223243611,0.8047510352387955,0.6110494910320283,0.8896011415277144,14399.0,57
1419260160,2,giorno2,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3341682713393756,0.5214421931056039,0.12585857634046252,0.8152960069211638,0.5999369503644432,0.5289508466120598,14399.0,57
1419260160,2,giorno2,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4376124883639202,0.6223523963267025,0.23212569324845855,0.7984492070967751,0.6407980565391583,1.3702173093886618,14399.0,57
1419260160,2,giorno2,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.36878282756857,0.5565746563760907,0.1604369162425262,0.806672872526379,0.6073208902118126,0.8174229269170415,14399.0,57
1419260160,2,giorno2,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.49964543395202876,0.683517615704964,0.29574366756270976,0.79650903772254,0.6503761267924782,1.809813685200501,14399.0,57
1419260160,2,giorno2,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.41269279741864673,0.6044580100340482,0.20016432585503816,0.7949976171729881,0.6682464558156554,1.1786636989405117,14399.0,57
1419260160,2,giorno2,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.37828096056362975,0.5670886335033024,0.16825658723564557,0.8047070085397484,0.6268315206568441,0.8997932425379762,14399.0,57
1422308855,1,giorno1,0,0.83,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3347715133740896,0.5222954003406438,0.1252443512433918,0.8026710231348301,0.6077604134458767,0.5210708492075906,14399.0,58
1422308855,1,giorno1,1,1.66,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.452533067219652,0.6406937481107244,0.24349828379240399,0.8009471148204751,0.6408762358653547,1.444812151275911,14399.0,58
1422308855,1,giorno1,2,1.16,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3655089659629312,0.5518169215828804,0.15820681910901707,0.7938590944108508,0.6405474544442932,0.8062063170347035,14399.0,58
1422308855,1,giorno1,3,1.9,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.5024662163065355,0.6868789551515001,0.29757642529264255,0.8021506066157461,0.6872065631658528,1.8224389295512755,14399.0,58
1422308855,1,giorno1,4,1.49,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.4140934015117488,0.6011115580779955,0.20681809017175287,0.7881929483192279,0.6500120360355209,1.1715918525027524,14399.0,58
1422308855,1,giorno1,5,1.24,0.9,0.033333333333333326,0.04166666666666665,0.016666666666666663,0.008333333333333331,0.3653746165244633,0.5500657292106301,0.16001852162580338,0.7963920276931945,0.6480049266548604,0.8568376051240747,14399.0,58
